FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
74304	75776	97088	8656.74805	25434.7578	20821.7207	12988.0342
50560	42496	84672	4603.3042	14287.5879	11824.1729	10879.8057
50048	38592	1.17823994e5	7571.75537	16078.9121	27745.5156	13649.2188
65024	53696	75392	6209.08887	7951.39014	17362.1426	8386.23535
66432	60672	94336	5886.40771	4306.18604	34466.2305	13975.2568
52352	42944	1.29087996e5	4795.84131	13076.8877	8373.64844	12326.9004
45760	38080	1.08415997e5	4815.4668	5968.22998	2675.24902	7116.12207
47360	44160	57472	3252.26245	12236.6006	11176.3965	7226.52832
79680	79872	1.12512004e5	5839.73584	6586.33057	22226.793	11898.5771
30080	20224	73984	3753.44263	11135.0957	15865.7754	6869.44531
55232	48640	1.09440004e5	8918.52246	9655.25977	31820.6523	9071.69434
56192	50752	78080	4126.13477	9011.04395	16671.0215	8496.14648
50432	49024	79808	5601.1665	7072.54541	11718.8984	11043.0059
43968	34688	1.39136004e5	8036.23047	27271.873	13992.5898	9691.40234
66752	65152	95872	4420.4624	7747.6123	18272.9219	7458.49561
44096	33920	1.20000005e5	4045.42456	10463.127	21425.9512	9520.10254
38464	37248	45440	1911.47607	2184.0896	9038.45996	4661.76807
44096	40384	78080	4068.95288	5820.1582	19612.1328	7895.66504
45952	38464	92608	7224.17871	10737.4326	29444.7285	7765.35498
55296	48512	81664	4952.78418	12314.8037	15517.4688	11472.9717
28928	24320	71040	6257.04443	15233.3301	23597.3613	6380.82324
81856	77248	66880	5818.45508	15200.1445	9678.12402	9211.85938
52928	48448	67904	3628.8999	9932.90723	10768.3867	6885.66504
45952	38912	72576	2739.38477	4654.86816	11900.1016	9869.375
39936	36416	65024	4903.13428	7267.61377	16886.8262	5859.72852
35904	29120	80704	4388.20508	12950.6162	14384.3125	8343.45898
85696	72576	1.13856006e5	4783.73535	14470.1396	21523.1719	16908.8086
43904	42112	69248	5264.19727	12407.5186	5336.12988	9465.46484
59456	57856	1.19488001e5	6497.56592	19953.7871	28403.2266	10436.8838
52736	49088	81792	3245.15601	10814.9229	18266.8672	6517.81885
33088	29760	73280	6026.4707	20808.3438	3969.54126	8196.93066
23104	15552	96000	6100.08057	13866.1436	20764.6465	6877.06738
67648	64064	91584	6475.70117	8287.06738	38992.582	10744.3574
51584	47936	72384	5047.8291	8327.28906	14920.3516	7772.57666
82368	76416	1.10272002e5	5839.75	16365.7744	30195.6895	9393.88477
62080	58624	73600	3970.7168	9387.85449	8560.43848	7741.05713
52096	51776	62976	5160.40234	6919.14307	32452.7949	7814.78564
73152	61696	1.11935997e5	6609.87305	24219.5801	20650.2324	20702.2715
53184	48640	1.01248002e5	4367.56006	14776.4492	10044.7441	8920.73633
50048	43904	87040	6995.27588	7278.96338	39992.7461	12245.2705
55360	51904	93504	8528.94531	22583.9043	5439.31543	12100.1016
47680	36352	1.06048e5	4399.5752	6924.41162	18688.8125	11895.7686
40256	36416	98368	7699.98584	16532.4922	76259.9922	14720.1377
50688	47616	88896	2248.61743	13314.5986	21586.0449	11134.333
28608	24000	65792	6670.18311	7327.73145	14116.832	9321.15527
21440	15872	69248	7305.35547	13057.7266	20211.6289	5360.61865
49920	43712	63424	3505.15552	8222.71191	14984.9355	5604.93848
83648	71488	1.10464001e5	6028.30859	14193.9902	12931.0215	19094.3848
39360	37056	75264	5360.22461	5292.15576	13045.3105	5352.84912
71488	68480	83264	3711.84644	13277.5547	15741.3936	17028.1699
50496	48960	71360	3895.84155	4329.56885	17369.9883	8424.5752
56512	50688	92544	5143.88379	13416.8369	6536.33154	7374.11963
20096	16448	1.08415997e5	8293.47754	12347.3213	28210.375	11309.2637
67136	58624	73088	8268.28125	1757.88464	14621.7607	12285.9893
79040	65984	67968	4529.80127	7540.33887	11555.791	9835.25586
46848	36928	85440	5988.86182	15434.3457	6586.7793	10117.9277
90688	92032	81472	3716.1626	9520.12598	6520.09961	7543.76416
46912	44032	64320	5084.46631	11763.6934	14489.0654	8591.77246
87552	85696	1.07775998e5	5645.39551	15703.2402	41759.4023	11962.0947
55552	54208	54336	3546.57837	12379.501	4123.35547	8092.85498
48064	44160	85760	5254.01367	12381.707	15458.8799	5362.81104
38208	34368	1.02655995e5	5808.46582	16857.4629	14607.2529	11974.0898
37504	30208	69184	5172.5083	9070.08301	24694.082	6349.37988
72640	69568	1.04703999e5	5233.04736	7430.73633	19298.5273	9544.58594
40448	33664	89536	4150.0791	17690.6602	12497.2031	11596.6846
81600	80192	71744	3584.90112	6091.09033	10319.8477	5513.33398
58240	51328	1.10976005e5	6770.54053	18871.0664	30605.9062	14599.6436
46336	41088	85824	6265.67773	8732.57031	14416.5908	7657.66553
61696	55232	1.21472001e5	5986.92871	9129.07227	30593.043	12496.499
40576	30848	75712	1904.17078	8309.02441	3216.88257	6028.82959
31360	27136	70336	5073.37793	4543.05518	16659.0332	7362.86963
43776	40832	51264	3059.62842	8891.05664	5811.06152	7297.91846
23424	18688	52800	1711.43457	6356.60156	13913.083	3947.73315
48768	44288	1.12575996e5	6367.57324	10969.8174	717.479431	12435.7061
44736	40000	1.06368005e5	6316.84668	8755.83301	26238.8145	15678.0859
61184	56576	1.05856001e5	5773.17236	11547.5459	18204.4355	8298.5166
44672	36032	77184	3158.87036	12306.9102	21684.4531	9555.55371
